id,danceability,energy,song_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,featured,cleaned_name,cleaned_artists,cleaned_artists_2,duration_s,duration_m
6DCZcSspjsKoFjzjrWoCd,0.75400000810623169,0.44900000095367432,7,-9.2110004425048828,1,0.10899999737739563,0.03319999948143959,8.2899998233187944E-5,0.55199998617172241,0.35699999332427979,77.168998718261719,198973,4,0,god's plan,drake,,198,3.32
3ee8Jmje8o58CHK66QrVC,0.74000000953674316,0.61299997568130493,8,-4.880000114440918,1,0.14499999582767487,0.25799998641014099,3.7199999205768108E-3,0.12300000339746475,0.47299998998641968,75.023002624511719,166606,4,0,sad!,xxxtentacion,,166,2.78
0e7ipj03S05BNilyu5bRz,0.58700001239776611,0.5350000262260437,5,-6.0900001525878906,0,8.9800000190734863E-2,0.11699999868869781,6.5599997469689697E-5,0.13099999725818634,0.14000000059604645,159.84700012207031,218147,4,1,rockstar,post malone,(feat. 21 savage),218,3.64
3swc6WTsr7rl9DqQKQA55,0.73900002241134644,0.55900001525878906,8,-8.0109996795654297,1,0.11699999868869781,0.57999998331069946,0,0.1120000034570694,0.43900001049041748,140.12399291992188,221440,4,1,psycho,post malone,(feat. ty dolla $ign),221,3.69
2G7V7zsVDxg1yRsu7Ew9R,0.83499997854232788,0.62599998712539673,1,-5.8330001831054688,1,0.125,5.8899998664855957E-2,5.999999848427251E-5,0.39599999785423279,0.34999999403953552,91.029998779296875,217925,4,0,in my feelings,drake,,217,3.63
7dt6x5M1jzdTEt8oCbisT,0.68000000715255737,0.56300002336502075,10,-5.8429999351501465,1,4.5400001108646393E-2,0.35400000214576721,0,0.13600000739097595,0.37400001287460327,145.02799987792969,231267,4,0,better now,post malone,,231,3.85
58q2HKrzhC3ozto2nDdN4,0.81599998474121094,0.72600001096725464,5,-3.997999906539917,0,0.1289999932050705,9.8999999463558197E-2,0,0.37200000882148743,0.64999997615814209,136.04800415039063,253390,4,0,i like it,cardi b,,253,4.22
7ef4DlsgrMEH11cDZd32M,0.79100000858306885,0.8619999885559082,9,-3.2400000095367432,0,0.10999999940395355,3.7000000476837158E-2,2.1899999410379678E-5,8.1399999558925629E-2,0.59200000762939453,123.99400329589844,214847,4,1,one kiss,calvin harris,(with dua lipa),214,3.58
76cy1WJvNGJTj78UqeA5z,0.83600002527236938,0.54400002956390381,7,-5.9749999046325684,1,9.4300001859664917E-2,4.0300000458955765E-2,0,8.2400001585483551E-2,0.50999999046325684,97.027999877929688,217947,4,0,idgaf,dua lipa,,217,3.63
08bNPGLD8AhKpnnERrAc6,0.62599998712539673,0.87999999523162842,9,-2.3840000629425049,0,5.0400000065565109E-2,0.20499999821186066,0,0.12800000607967377,0.5339999794960022,95.079002380371094,202621,4,0,friends,marshmello,,202,3.38
1rfofaqEpACxVEHIZBJe6,0.76499998569488525,0.52300000190734863,2,-4.3330001831054688,1,2.9999999329447746E-2,0.18400000035762787,3.5599998227553442E-5,0.13199999928474426,0.39399999380111694,104.98799896240234,217307,4,0,havana,camila cabello,,217,3.62
0s3nnoMeVWz3989MkNQiR,0.51099997758865356,0.56599998474121094,6,-7.2300000190734863,0,0.20000000298023224,0.34900000691413879,0,0.34000000357627869,0.21799999475479126,83.902999877929688,239836,4,0,lucid dreams,juice wrld,,239,4.00
3CA9pLiwRIGtUBiMjbZmR,0.58600002527236938,0.9089999794960022,8,-6.4739999771118164,1,7.0500001311302185E-2,8.9100003242492676E-2,1.0900000052060932E-4,0.11900000274181366,0.75700002908706665,93.393997192382813,210747,4,0,nice for what,drake,,210,3.51
7fa9MBXhVfQ8P8Df9OEbD,0.85100001096725464,0.54100000858306885,0,-6.8249998092651367,1,5.0500001758337021E-2,0.56800001859664917,0,0.12999999523162842,0.44800001382827759,124.95899963378906,235545,4,1,girls like you,maroon 5,(feat. cardi b),235,3.93
09IStsImFySgyp0pIQdqA,0.75300002098083496,0.65700000524520874,7,-3.0610001087188721,1,4.4900000095367432E-2,0.17100000381469727,0,0.1120000034570694,0.43700000643730164,107.01000213623047,184732,4,0,the middle,zedd,,184,3.08
3GCdLUSnKSMJhs4Tj6CV3,0.69800001382827759,0.63300001621246338,8,-4.9460000991821289,1,5.9700001031160355E-2,6.0499999672174454E-2,1.939999929163605E-4,9.2600002884864807E-2,0.55199998617172241,96.924003601074219,232187,4,1,all the stars,kendrick lamar,(with sza),232,3.87
2qT1uLXPVPzGgFOx4jtEu,0.69900000095367432,0.71299999952316284,9,-5.5069999694824219,0,5.9399999678134918E-2,3.9999999105930328E-2,3.1100000796868699E-6,0.29399999976158142,0.35400000214576721,121.99299621582031,205920,4,0,no tears left to cry,ariana grande,,205,3.43
39N9RPD9MRb5WmoLzNzPe,0.59500002861022949,0.77300000190734863,9,-4.7360000610351563,0,5.4900001734495163E-2,3.6400001496076584E-2,1.0799999581649899E-3,0.33399999141693115,0.71100002527236938,180.072998046875,173628,4,0,x,nicky jam,,173,2.89
0JP9xo3adEtGSdUEISisz,0.92100000381469727,0.53700000047683716,9,-5.7230000495910645,0,8.0399997532367706E-2,0.5559999942779541,4.0400000289082527E-3,0.10199999809265137,0.71100002527236938,128.00900268554688,135090,4,0,moonlight,xxxtentacion,,135,2.25
4qKcDkK6siZ7Jp1Jb4m0a,0.92199999094009399,0.58099997043609619,10,-7.494999885559082,1,0.27000001072883606,1.0400000028312206E-3,5.8599998737918213E-5,0.10499999672174454,0.59500002861022949,140.02200317382813,181263,4,1,look alive,blocboy jb,(feat. drake),181,3.02
5CLGzJsGqhCEECcpnFQA8,0.65299999713897705,0.80900001525878906,0,-4.0570001602172852,1,4.7400001436471939E-2,0.1940000057220459,0,0.16500000655651093,0.55000001192092896,92.212997436523438,210773,4,1,these days,rudimental,(feat. jess glynne, macklemore & dan caplen),210,3.51
